timestamp_utc,latitude,longitude,altitude_km
2026-06-03 10:38:57,26.874431701207286,173.4909015680643,791.903597644858
2026-06-03 10:39:57,30.413322451942456,172.5495172376275,792.406747662474
2026-06-03 10:40:57,33.94637913391336,171.5564937460626,792.9930103738583
2026-06-03 10:41:57,37.47251516631361,170.49957339397037,793.6481533029781
2026-06-03 10:42:57,40.990436683117764,169.36329570831882,794.3570955909215
2026-06-03 10:43:57,44.49854829553049,168.12776866228313,795.1041670659673
2026-06-03 10:44:57,47.994811894920026,166.76685906034461,795.8733740973288
2026-06-03 10:45:57,51.47653014166614,165.24545696720637,796.6486677948777
2026-06-03 10:46:57,54.940004997607424,163.51522085694012,797.414210204574
2026-06-03 10:47:57,58.37998094671617,161.50774957981002,798.1546343082287
2026-06-03 10:48:57,61.78870122190596,159.12324468010792,798.8552938574484
2026-06-03 10:49:57,65.15423507480259,156.21098741818795,799.5024993428309
2026-06-03 10:50:57,68.4573599319904,152.5344819833284,800.083736710805
2026-06-03 10:51:57,71.66542402464168,147.70741037072628,800.5878657808279
2026-06-03 10:52:57,74.71961410404927,141.07611748209055,801.005295676827
2026-06-03 10:53:57,77.50776945002735,131.52722324074952,801.3281349605337
2026-06-03 10:54:57,79.81029404138143,117.35149055856384,801.550314534723
2026-06-03 10:55:57,81.23662027447445,97.12460905690887,801.6676817677219
2026-06-03 10:56:57,81.34278145957148,73.20214644777626,801.6780646730593
2026-06-03 10:57:57,80.08630758371002,52.139073581940835,801.581305359426
2026-06-03 10:58:57,77.8836596883689,37.12499795837636,801.3792623455374
2026-06-03 10:59:57,75.14955695647485,27.016232963459917,801.0757817124928
2026-06-03 11:00:57,72.12561900220626,20.04013367950415,800.6766374446531
2026-06-03 11:01:57,68.93561633270019,14.997538646247305,800.1894416887816
2026-06-03 11:02:57,65.64399648731244,11.181014058477354,799.6235260423942
2026-06-03 11:03:57,62.28622482874247,8.174014945623378,798.989795364319
2026-06-03 11:04:57,58.883007383098594,5.723009181688439,798.3005559837674
2026-06-03 11:05:57,55.44710156331051,3.667365912003001,797.5693205649733
2026-06-03 11:06:57,51.98674815626908,1.9012960143678823,796.8105922594087
2026-06-03 11:07:57,48.507498241624944,0.3526410171814467,796.0396311406956
2026-06-03 11:08:57,45.01323672011739,-1.0293782880316382,795.2722062610421
2026-06-03 11:09:57,41.506782422789044,-2.281501662170714,794.5243369839582
2026-06-03 11:10:57,37.99025419013858,-3.4309811191464044,793.8120275255811
2026-06-03 11:11:57,34.465301932546566,-4.498494470209412,793.1509988658884
2026-06-03 11:12:57,30.933256742055207,-5.5000649275188405,792.5564223596227
2026-06-03 11:13:57,27.395230770829308,-6.44835974066468,792.0426594751558
2026-06-03 11:14:57,23.85218495945102,-7.353590594455438,791.6230121072551
2026-06-03 11:15:57,20.304975616544855,-8.22415266900762,791.3094878390353
2026-06-03 11:16:57,16.754386752927854,-9.067088815796534,791.1125843646766
2026-06-03 11:17:57,13.201152634868118,-9.88843487745215,791.0410970236253
2026-06-03 11:18:57,9.645973535169594,-10.693483412222662,791.1019530415152
2026-06-03 11:19:57,6.089526738433172,-11.486991297223122,791.3000756264818
2026-06-03 11:20:57,2.5324742773765254,-12.273349198510822,791.6382805406843
2026-06-03 11:21:57,-1.0245314868497348,-13.056726146176137,792.1172071679512
2026-06-03 11:22:57,-4.580843550375259,-13.841199518288523,792.7352854441046
